Team,Enrollment,Current Conf,Former Conf
Air Force,4237,Mountain West,WAC
Akron,19200,MAC,"OAC, MCC, OVC"
Alabama,38500,SEC,"SIAA, SoCon"
Appalachian State,19100,Sun Belt,"NSC, SoCon"
Arizona,45200,Pac-12,"BIAA, WAC"
Arizona State,51800,Pac-12,"BIAA, WAC"
Arkansas,27800,SEC,SWC
Arkansas State,22000,Sun Belt,"Arkansas Intercollegiate Conference, Southland, Big West"
Army,4300,Independent,C-USA
Auburn,30400,SEC,"SIAA, SoCon"
Ball State,22500,MAC,"IIC, ICC"
Baylor,17200,Big 12,"TIAA, SWC"
Boise State,25500,Mountain West,"ICAC, Big Sky, Big West, WAC"
Boston College,14700,ACC,Big East
Bowling Green,23000,MAC,"Northwest Ohio Intercollegiate Athletic Association, OAC"
Buffalo,31500,MAC,New York State Conference
BYU,33600,Independent[n 3],"Rocky Mountain, Mountain States, WAC, MW"
California,42500,Pac-12,PCC
Central Michigan,21700,MAC,"MCC, IIAC"
Charlotte,29700,C-USA[n 4],"Sun Belt, C-USA, A-10"
Cincinnati,46000,American[n 3],"OAC, Buckeye Intercollegiate Athletic Association, MAC, MVC, C-USA, Big East"
Clemson,25000,ACC,"SIAA, SAIAA, SoCon"
Coastal Carolina,10600,Sun Belt,Big South
Colorado,33200,Pac-12,"Colorado Football Association, Rocky Mountain, Mountain States, Big Eight, Big 12"
Colorado State,33800,Mountain West,"Colorado Football Association, Rocky Mountain, Mountain States, WAC"
Duke,15900,ACC,SoCon
East Carolina,29100,American,"NSC, Carolinas, SoCon, C-USA"
Eastern Michigan,20300,MAC,"MIAA, MCC, IIAC, PAC"
FIU,56800,C-USA,Sun Belt
Florida,56100,SEC,"SIAA, SoCon"
Florida Atlantic,30800,C-USA[n 4],Sun Belt
Florida State,41900,ACC,Dixie
Fresno State,25000,Mountain West,"California Coast Conference, NCAC, CCAA, Big West, WAC"
Georgia,38200,SEC,"SIAA, SoCon"
Georgia Southern,27091,Sun Belt,SoCon
Georgia State,52800,Sun Belt,CAA
Georgia Tech,32700,ACC,"SIAA, SoCon, SEC"
Hawaii,17700,Mountain West,WAC
Houston,42700,American[n 3],"Lone Star, Gulf Coast, MVC, SWC, C-USA[n 5]"
Illinois,51200,Big Ten,Illinois Intercollegiate Football League
Indiana,43700,Big Ten,IIAA
Iowa,33000,Big Ten,"WIUFA, MVC"
Iowa State,33400,Big 12,"MVC, Big 8"
Kansas,27700,Big 12,"KCAC, WIUFA, MVC, Big 8"
Kansas State,21700,Big 12,"MVC, Big 8"
Kent State,39300,MAC,OAC
Kentucky,29200,SEC,"SIAA, SoCon"
Liberty,15000,Independent[n 6],Big South
Louisiana,19200,Sun Belt,"Louisiana Intercollegiate Athletic Association, Louisiana Intercollegiate Conference, Gulf States Conference, SIAA, Southland, Big West"
Louisiana–Monroe,8800,Sun Belt,"Gulf States Conference, Southland, Independent"
Louisiana Tech,12400,C-USA,"Louisiana Intercollegiate Athletic Association, Louisiana Intercollegiate Conference, Gulf States Conference, SIAA, Southland, Big West, WAC"
Louisville,22600,ACC,"KIAC, SIAA, KIAC, OVC, MVC, C-USA, Big East, American"
LSU,30800,SEC,"SIAA, SoCon"
Marshall,13200,Sun Belt,"WVIAC, Buckeye Conference, OVC, MAC, SoCon, C-USA"
Maryland,41200,Big Ten,"MIFA, SAIAA, SoCon, ACC"
Memphis,21500,American,"Mississippi Valley Conference, SIAA, MVC, C-USA[n 5]"
Miami (FL),17300,ACC,"SIAA, Big East"
Miami (OH),24300,MAC,"OAC, Buckeye Conference"
Michigan,46000,Big Ten,None[n 8]
Michigan State,50300,Big Ten,MIAA
Middle Tennessee,21900,C-USA,"VSAC, SIAA, OVC, Sun Belt"
Minnesota,47800,Big Ten,None[n 8]
Mississippi State,22200,SEC,"SIAA, SoCon"
Missouri,30000,SEC,"WIUFA, Big 8, Big 12"
Navy,4600,American,Independent
NC State,35500,ACC,"SAIAA, SIAA, SoCon"
Nebraska,25800,Big Ten,"WIUFA, MVC, Big 8, Big 12"
Nevada,21600,Mountain West,"NCAC, Big Sky, Big West, WAC"
New Mexico,26300,Mountain West,"BIAA, WAC"
New Mexico State,21900,Independent[n 6],"BIAA, MVC, Big West, Sun Belt, WAC"
North Carolina,29800,ACC,"SAIAA, SIAA, SoCon"
North Texas,39400,C-USA[n 4],"TIAA, Lone Star, Gulf Coast Conference, MVC, Southland, Big West, Sun Belt"
Northern Illinois,20000,MAC,"IIAC, Big West"
Northwestern,21200,Big Ten,None[n 8]
Notre Dame,12300,Independent,ACC
Ohio,34900,MAC,"OAC, Buckeye Conference"
Ohio State,68100,Big Ten,OAC
Oklahoma,28500,Big 12[n 10],"Oklahoma Intercollegiate Conference, SWC, MVC, Big 8"
Oklahoma State,25300,Big 12,"Oklahoma Intercollegiate Conference, SWC, MVC, Big 8"
Old Dominion,25000,Sun Belt,"CAA, C-USA"
Ole Miss,23200,SEC,"SIAA, SoCon"
Oregon,22700,Pac-12,"PCC, Independent"
Oregon State,30900,Pac-12,"PCC, Independent"
Penn State,46600,Big Ten,Independent
Pittsburgh,28600,ACC,Big East
Purdue,43400,Big Ten,IIAA
Rice,7100,C-USA[n 4],"TIAA, SWC, WAC"
Rutgers,50200,Big Ten,"Middle Atlantic, Big East, American"
San Diego State,34900,Mountain West,"Southern California Junior College Conference, SCIAC, CCAA, Big West, WAC"
San Jose State,32800,Mountain West,"California Coast Conference, NCAC, California Collegiate, Big West, WAC"
SMU,11800,American,"TIAA, SWC, WAC, C-USA[n 5]"
South Alabama,15100,Sun Belt,FCS Independent
South Carolina,50100,SEC,"SIAA, SoCon, ACC"
South Florida,50700,American,"C-USA, Big East"
Southern Miss,14500,Sun Belt,"Gulf States Conference, SIAA. C-USA"
Stanford,16500,Pac-12,PCC
Syracuse,22900,ACC,Big East
TCU,10400,Big 12,"TIAA, SWC, WAC, C-USA, MW"
Temple,40000,American,"Middle Atlantic, Big East, MAC, Big East"
