School,Conference,State,GSR,FGR
Abilene Christian ,Southland Conference,TX,0.75,0.51
 Akron,Mid-American Conference,OH,0.79,0.76
Alabama A&M ,Southwestern Athletic Conf.,AL,0.62,0.54
Alabama State ,Southwestern Athletic Conf.,AL,0.71,0.42
 Alabama,Southeastern Conference,AL,0.86,0.65
 Alabama at Birmingham,Conference USA,AL,0.69,0.42
 Albany,Colonial Athletic Association,NY,0.78,0.63
Alcorn State ,Southwestern Athletic Conf.,MS,0.68,0.53
Appalachian State ,Sun Belt Conference,NC,0.78,0.6
Arizona State ,Pac-12 Conference,AZ,0.86,0.66
 Arizona,Pac-12 Conference,AZ,0.73,0.55
Arkansas State ,Sun Belt Conference,AR,0.72,0.45
" Arkansas, Fayetteville",Southeastern Conference,AR,0.84,0.57
Auburn ,Southeastern Conference,AL,0.8,0.61
Austin Peay State ,Ohio Valley Conference,TN,0.64,0.45
Ball State ,Mid-American Conference,IN,0.82,0.65
Charleston Southern ,Big South Conference,SC,0.66,0.58
Baylor ,Big 12 Conference,TX,0.91,0.69
Bethune-Cookman ,Mid-Eastern Athletic Conf.,FL,0.74,0.54
Boise State ,Mountain West Conference,ID,0.88,0.53
Boston College,Atlantic Coast Conference,MA,0.92,0.76
Bowling Green,Mid-American Conference,OH,0.72,0.65
Brigham Young ,Independent,UT,0.8,0.59
Brown ,The Ivy League,RI,0.95,0
Bryant ,Northeast Conference,RI,0.94,0.83
Bucknell ,Patriot League,PA,0.94,0.77
" at Buffalo, the State  New York",Mid-American Conference,NY,0.86,0.69
Butler ,Pioneer Football League,IN,0.88,0
California Polytechnic State ,Big Sky Conference,CA,0.86,0.7
Fresno State,Mountain West Conference,CA,0.69,0.58
"California State , Sacramento",Big Sky Conference,CA,0.64,0.41
" California, Berkeley",Pac-12 Conference,CA,0.84,0.76
" California, Davis",Big Sky Conference,CA,0.87,0.83
UCLA,Pac-12 Conference,CA,0.71,0.54
Campbell ,Big South Conference,NC,0.88,0.77
Central Connecticut State ,Northeast Conference,CT,0.65,0.52
 Central Florida,American Athletic Conference,FL,0.82,0.68
Central Michigan ,Mid-American Conference,MI,0.81,0.73
 Cincinnati,American Athletic Conference,OH,0.86,0.67
The Citadel,Southern Conference,SC,0.88,0.67
Clemson ,Atlantic Coast Conference,SC,0.88,0.66
Coastal Carolina ,Sun Belt Conference,SC,0.81,0.63
Colgate ,Patriot League,NY,0.93,0.84
Colorado State ,Mountain West Conference,CO,0.8,0.76
" Colorado, Boulder",Pac-12 Conference,CO,0.77,0.56
Columbia -Barnard College,The Ivy League,NY,0.99,0
 Connecticut,Independent,CT,0.89,0.78
Cornell ,The Ivy League,NY,0.97,0
Dartmouth College,The Ivy League,NH,1,0
Davidson College,Pioneer Football League,NC,0.92,0
 Dayton,Pioneer Football League,OH,0.96,0
Delaware State ,Mid-Eastern Athletic Conf.,DE,0.71,0.51
 Delaware,Colonial Athletic Association,DE,0.82,0.7
Drake ,Pioneer Football League,IA,0.95,0.85
Duke ,Atlantic Coast Conference,NC,0.96,0.9
Duquesne ,Northeast Conference,PA,0.77,0.66
East Carolina ,American Athletic Conference,NC,0.72,0.67
East Tennessee State ,Southern Conference,TN,1,0
Eastern Illinois ,Ohio Valley Conference,IL,0.64,0.53
Eastern Kentucky ,Ohio Valley Conference,KY,0.74,0.57
Eastern Michigan ,Mid-American Conference,MI,0.73,0.59
Eastern Washington ,Big Sky Conference,WA,0.64,0.57
Florida A&M ,Southwestern Athletic Conf.,FL,0.62,0.45
Florida Atlantic ,Conference USA,FL,0.75,0.6
Florida International ,Conference USA,FL,0.75,0.59
Florida State ,Atlantic Coast Conference,FL,0.58,0.43
 Florida,Southeastern Conference,FL,0.93,0.37
Fordham ,Patriot League,NY,0.88,0.82
Furman ,Southern Conference,SC,0.85,0.74
Georgetown ,Patriot League,DC,1,0.94
Georgia Southern ,Sun Belt Conference,GA,0.64,0.55
Georgia State ,Sun Belt Conference,GA,0.81,0.7
Georgia Tech,Atlantic Coast Conference,GA,0.85,0.7
 Georgia,Southeastern Conference,GA,0.59,0.39
Grambling State ,Southwestern Athletic Conf.,LA,0.65,0.49
Hampton ,Big South Conference,VA,0.68,0.48
Harvard ,The Ivy League,MA,0.98,0
" Hawaii, Manoa",Mountain West Conference,HI,0.73,0.47
College of the Holy Cross,Patriot League,MA,0.98,0.89
Houston Baptist ,Southland Conference,TX,0.87,0.68
 Houston,American Athletic Conference,TX,0.68,0.58
Howard ,Mid-Eastern Athletic Conf.,DC,0.66,0.65
Idaho State ,Big Sky Conference,ID,0.81,0.57
 Idaho,Big Sky Conference,ID,0.73,0.52
Illinois State ,Missouri Valley Football Conference,IL,0.85,0.72
 Illinois Urbana-Champaign,Big Ten Conference,IL,0.91,0.79
Indiana State ,Missouri Valley Football Conference,IN,0.72,0.51
"Indiana , Bloomington",Big Ten Conference,IN,0.85,0.62
Iowa State ,Big 12 Conference,IA,0.88,0.7
 Iowa,Big Ten Conference,IA,0.87,0.65
Jackson State ,Southwestern Athletic Conf.,MS,0.84,0.65
Jacksonville State ,Ohio Valley Conference,AL,0.8,0.7
James Madison ,Colonial Athletic Association,VA,0.75,0.64
Kansas State ,Big 12 Conference,KS,0.93,0.72
 Kansas,Big 12 Conference,KS,0.83,0.57
Kent State ,Mid-American Conference,OH,0.81,0.59
 Kentucky,Southeastern Conference,KY,0.86,0.56
Lafayette College,Patriot League,PA,0.97,0.84
Lamar ,Southland Conference,TX,0.68,0.53
Lehigh ,Patriot League,PA,0.84,0.78
