School,Revenues
Texas,163928296
Ohio State,136574384
Alabama,140831439
Michigan,133665548
Notre Dame,118740294
Georgia,138088467
Oklahoma,126416865
Auburn,128960499
LSU,122703938
Tennessee,113766836
Florida,117963328
Texas A & M,101114415
Penn State,103736242
Wisconsin,88713614
Nebraska,93990274
Arkansas,99599352
South Carolina,101297652
Iowa,100040046
Washington,102248826
Michigan State,75674898
Oregon,81953780
Mississippi,78736032
Southern California,74174551
UCLA,64845985
Arizona State,70375000
Clemson,72218581
Florida State,94597591
Virginia Tech,65851157
Kansas State,68787446
Oklahoma State,63909363
Kentucky,66574141
Minnesota,73576081
Texas Tech,61914432
Stanford,68340862
Miss State,50754094
Georgia Tech,59422543
Utah,61344782
Colorado,72425832
Kansas,64704137
California Berkeley,61566987
Miami of Florida,47820654
Texas Christian,66084236
Iowa State,47732812
Indiana,61193975
Northwestern,58545202
North Carolina State,51911816
Louisville,58011677
Arizona,51865116
Illinois,52784303
North Carolina,50024180
Maryland,49907652
Wash State,51125157
Virginia,31675701
Purdue,55132293
Oregon State,48212470
Missouri,42568466
Syracuse,44613716
Pittsburgh,48091636
Baylor,50465954
BYU,32704695
Vanderbilt,36915107
Boston College,37155617
Boise State,27172138
Wake Forest,32604709
Central Florida,29550300
Duke,35987926
Rutgers,35376322
West Virginia,34050353
South Florida,24026107
Connecticut,32695983
UAB,28840003
Houston,22613559
Temple,25992000
Southern Methodist,21848464
Memphis,19849064
Wyoming,20381998
Cincinnati,21140792
Colorado State,20588154
East Carolina,18270690
San Diego State,19148065
Fresno State,18658904
North Texas,15870821
Hawaii,16823588
Florida International,16435347
UNLV,14741875
Ohio,14749167
Rice,15429983
Marshall,13067058
Akron,12354872
Middle Tennessee,13572649
Toledo,13339849
UTEP,12808393
Utah State,13904944
Nevada,14023542
Western Michigan,12863908
Western Kentucky,13764592
Buffalo,12283034
Northern Illinois,10300855
New Mexico,16789019
Troy,13247801
Southern Miss,9776959
Central Michigan,12314270
San Jose State,10923665
Florida Atlantic,12532745
Ball State,9959351
Miami - Ohio,12608689
Louisiana Lafayette,11804496
Eastern Michigan,12794163
Idaho,10133503
Kent State,10308661
Louisiana Tech,10385387
New Mexico State,7969929
Bowling Green,8370915
Arkansas State,8593341
Louisiana Monroe,6682465
