,School,Conference,Capacity
0,Michigan,Big Ten,107601
1,Penn State,Big Ten,106572
2,Ohio State,Big Ten,104944
3,Texas A&M,SEC,102733
4,Tennessee,SEC,102521
5,Alabama,SEC,101821
6,LSU,SEC,100500
7,Texas,Big 12,100119
8,USC,Pac 12,93607
9,Georgia,SEC,92746
10,Nebraska,Big Ten,92000
11,UCLA,Pac 12,89702
12,Florida,SEC,88548
13,Auburn,SEC,87451
14,Oklahoma,Big 12,84000
15,Florida State,ACC,82300
16,Clemson,ACC,81500
17,Wisconsin,Big Ten,80321
18,South Carolina,SEC,80250
19,Notre Dame,Independent,77622
20,Michigan State,Big Ten,75005
21,Arkansas,SEC,72000
22,UAB,CUSA,71594
23,Missouri,SEC,71004
24,Iowa,Big Ten,70585
25,San Diego State,Mountain West,70561
26,Washington,Pac 12,70138
27,Umass,MAC,68756
28,Temple,AAC,68532
29,Virginia Tech,ACC,66233
30,South Florida,AAC,65857
31,Pittsburgh,ACC,65500
32,Miami,ACC,65236
33,UTSA,CUSA,65000
34,Mississippi State,SEC,64038
35,BYU,Independent,63725
36,North Carolina,ACC,62980
37,California,Pac 12,62717
38,Purdue,Big Ten,62500
39,Memphis,AAC,62380
40,Virginia,ACC,61500
41,Iowa State,Big 12,61000
42,Kentucky,SEC,61000
43,Texas Tech,Big 12,60862
44,Illinois,Big Ten,60670
45,Oklahoma State,Big 12,60218
46,West Virginia,Big 12,60000
47,Mississippi,SEC,58580
48,NC State,ACC,57583
49,Arizona State,Pac 12,56232
50,Arizona,Pac 12,56037
51,Georgia Tech,ACC,55000
52,Louisville,ACC,55000
53,Maryland,Big Ten,54000
54,Oregon,Pac 12,54000
55,Colorado,Pac 12,53750
56,Indiana,Big Ten,52959
57,Rutgers,Big Ten,52454
58,Air Force,Mountain West,52237
59,UTEP,CUSA,51500
60,Minnesota,Big Ten,50805
61,Kansas,Big 12,50071
62,East Carolina,AAC,50000
63,Kansas State,Big 12,50000
64,Hawaii,Mountain West,50000
65,Stanford,Pac 12,50000
66,Syracuse,ACC,49250
67,Northwestern,Big Ten,47130
68,Rice,CUSA,47000
69,Oregon State,Pac 12,45674
70,Central Florida,AAC,45323
71,Baylor,Big 12,45140
72,Utah,Pac 12,45017
73,TCU,Big 12,45000
74,Boston College,ACC,44500
75,Colorado State,Mountain West,41200
76,Fresno State,Mountain West,41031
77,South Alabama,Sun Belt,40646
78,Vanderbilt,SEC,40550
79,Duke,ACC,40004
80,Cincinnati,AAC,40000
81,Connecticut,AAC,40000
82,Houston,AAC,40000
83,New Mexico,Mountain West,39224
84,Marshall,CUSA,38019
85,Army,Independent,38000
86,Boise State,Mountain West,37000
87,UNLV,Mountain West,36800
88,Southern Miss,CUSA,36000
89,Tulsa,AAC,35542
90,Washington State,Pac 12,35117
91,Navy,AAC,34000
92,SMU,AAC,32000
93,Wake Forest,ACC,31500
94,Middle Tennessee,CUSA,31000
95,Louisiana-Lafayette,Sun Belt,31000
96,Arkansas State,Sun Belt,30964
97,North Texas,CUSA,30850
98,Louisiana Tech,CUSA,30600
99,San Jose State,Mountain West,30456
100,Louisiana-Monroe,Sun Belt,30427
101,New Mexico State,Sun Belt,30343
102,Central Michigan,MAC,30255
103,Eastern Michigan,MAC,30200
104,Western Michigan,MAC,30200
105,Tulane,AAC,30000
106,Florida Atlantic,CUSA,30000
107,Akron,MAC,30000
108,Texas State,Sun Belt,30000
109,Troy,Sun Belt,30000
110,Nevada,Mountain West,29993
111,Wyoming,Mountain West,29181
112,Buffalo,MAC,29013
113,Toledo,MAC,26248
114,Utah State,Mountain West,25513
115,Kent State,MAC,25319
116,Georgia Southern,Sun Belt,24300
117,Miami-OH,MAC,24286
118,Appalachian State,Sun Belt,24150
119,Northern Illinois,MAC,24000
120,Ohio,MAC,24000
121,Bowling Green,MAC,23724
122,Florida International,CUSA,23500
123,Georgia State,Sun Belt,23000
124,Ball State,MAC,22500
125,Western Kentucky,CUSA,22113
126,Old Dominion,CUSA,20118
127,UMass,Independent,17000
128,Idaho,Sun Belt,16000
129,UNC Charlotte,CUSA,15314
130,Coastal Carolina,Sun Belt,15000
